schoolName,email
"SMT. S K PATHAK VIDYAMANDIR SECONDARY","pathakschool2016@gmail.com"
"HOLY SAINTS SCHOOL","rbmb2009@gmail.com"
"MAHATMA GANDHI PRI. SCHOOL","mahatmagandhischools@gmail.com"
"P AND B SCHOOL GUJARATI MEDIUM","pandbschool@yahoo.com"
"SHRI D. P. DAVE SCHOOL","daveschoolrajkot@gmail.com"
"KRISHNA H.S. SCHOOL (ENG MED)","himanshu.krishnaschools@gmail.com"
"KRISHNA H.S. SCHOOL (GUJ MED)","himansu.krishnaschools@gmail.com"
"THE SCHOOL OF SCIENCE (ENG. MED.)","sosrajkot@gmail.com"
"SHRI AMRUT HIGHER SEC. SCHOOL (ENG MED)","amrutrajkot@gmail.com"
"SMT C. G. BHARAD VIDHYA MANDIR (H. S.)","gkbharad2012@gmail.com"
"ST. SAI HIGHER SECONDARY SCHOOL","stsaihighschool@gmail.com"
"UTKARSH SCHOOL OF EXCELLENCE (PRIMARY)","utkarsh_school@yahoo.com"
"SHRI H S PARIKH MEMORIEL BEST HIGH SCHOOL","hsparikhschool@gmail.com"
"NIRMALA CONVENT SCHOOL(CBSE)","ncsrajkot@gmail.com"
"M.V. DHULASHIA & JHC TRUST SCHOOLS","rupal.vyas@tges.org"
"LORDS SCHOOL","lords.school71@gmail.com"
"SADAGURU PRI. VIDHYALAYA","sadguruvidhyalay40@gmail.com"
"LATE SHREE S.G.DHOLAKIYA MEMO. HIGH SCHOOL","sgdholakiya10@gmail.com"
"SHRI JAGADGURU MADHYAMIK VIDYALAYA","kishorkotak18@gmail.com"
"SUNSHINE SCHOOL (GUJ. MED.)","sunshinegujmediumschool@gmail.com"
"SHREE JASANI ENG.MED. PRI.SCHOOL","diptispandey908@gmail.com"
"SHREE LALBAHADUR SHASTRI ENG. PRIMARY","bhartinathwani@gmail.com"
"MASOOM PRI. SCHOOL(UNIT-2)","masoom1960@rediffmail.com"
"ROSARY SCHOOL","rosaryschoolrajkot@yahoo.co.in"
"ROSARY ENG. SCHOOL","rosaryschoolrajkot@yahoo.com.in"
"ST MARY'S SCHOOL","stmarysschoolrajkot@gmail.com"
"G K DHOLAKIYA","dholakiyaschoolsrajkot@gmail.com"
"G K ENG. DHOLAKIYA","dholakiyaschool@gmail.com"
"G T SHETH VIDYALAYA ENG.","gtshethvidyalaya@gmail.com"
"GNAN DIP PRIMARY SCHOOL","sisterniveditatrust@gmail.com"
"K T SMARAK SCHOOL","sonalpatelsp1401@gmail.com"
"ANIL GNAN MANDIR","shreeanilgyanmandir@gmail.com"
"SADHU VASWANI ENG. SCHOOL FOR GIRLS","svgirlschool@gmail.com"
"NEW PARIMAL SCHOOL","newparimalschool@gmail.com"
"PARIVARTAN VIDHYALAYA","vidhyalayparivartan@gmail.com"
"S H SIHAR HIGH SCHOOL","sinharschool@gmail.com"
"DIVINE SCHOOL","dholakiyaschoolrajkot@gmail.com"
"GNANGANGA VIDHIYAPITH","gg.rajkot@gmil.com"
"K B SEDALIYA PRATHMIK SHALA","kbshedaliya@yahoo.com"
