schoolName,email
"KRISHNA PRIMARY SCHOOL DHORAJI","krishnascienceschooldhoraji@gmail.com"
"THE IMPERIAL SCIENCE SCHOOL","theimperialscienceschool@gmail.com"
"KALARAV PRIMARY SCHOOL DHORAJI","kalaravschool@yahoo.in"
"A Z KANERIA PRIMARY SCHOOL DHORAJI","azkaneiaprimaryschool@gmail.com"
"ROYAL MADHYAMIK SHALA DHORAJI","royalinternationalschooldhoraji@yahoo.com"
"SHREE SWAMINARAYAN VIDHYAPEETH","principal.ssvf@gmail.com"
"DREAM INTERNATIONAL SCHOOL DHORAJI","dismailbox1@gmail.com"
"CRYSTAL ACADEMY SCHOOL DHORAJI","crystalacedemy78@gmail.com"
"RAJKUMAR VIDHYALAY DHORAJI","nileshkakadiya1984@gmail.com"
"PARISHRAM VIDHYALAY","parishramshalasankul@gmail.com"
"CRYSTAL SCHOOL (ENG MED)","principal.crystalinternational@gmail.com"
"GANGOTRI INTERNATIONAL SCHOOL","admin@gisgondal.com"
"B.A.P.S. SWAMINARAYAN VIDYAMANDIR UPPER PRIMARY GIRLS SCHOOL GUJ. MED.","bapssvmgondal@gmail.com"
"VIVEKANAND PRI. SCHOOL","vivekanandschool37@gmail.com"
"GYANYAGNA VIDHYALAYA","gyansagar0240@gmail.com"
"B.A.P.S. SWAMINARAYAN VIDYAMANDIR UPPER PRIMARY GIRLS SCHOOL ENG. MED","bapsvmgondal@gmail.com"
"GAJANAN SANKUL","gajanansankulgomta@gmail.com"
"NYARI SCHOOL","nyarischool@gmail.com"
"GAJANAN PRI .SCHOOL","gajananschoolgomta@gmail.com"
"SHREE SANSKAR VIDHYALAYA","sanskarschoolkolithad@gmail.com"
"SHREE GYANYAGNA VIDHYALAY","gyanyagn2007@gmail.com"
"NILKANTH VIDHYA SANKUL","nilakanthvidhyasankul@gmail.com"
"SHRI GYANYAGN VIDHYALAY","ramaliyaashvin43@gmail.com"
"TULASHI MANDIR PRA. SCHOOL","tulsiedu.trust@gmail.com"
"AUMKAR VIDHYALAYA","aumkarschool7578@gmail.com"
"SARASWATI VIDHYALAY PRI. SCHOO","shishumandirderdi@gmail.com"
"NALANDA PRI. SCHOOL","narandavidhyalay@yahoo.com"
"PARTH PRIMARY SCHOOL","parthschool2012@gmail.com"
"JAY HIND VIDHYALAY PRI. SCHOOL","sreejayhindvidhayalay@gmail.com"
"SARVODAY PRI. SCHOOL","sarvoday719@gmail.com"
"VIVEKANAND PRI. SCHOOL","bhalalaashiq@gmail.com"
"SHREE PATEL VIDHYALAY","pateledu88@gmail.com"
"SHRIJI VIDHYA MANDIR","ambhalala@gmail.com"
"S.G.V.P. INTERNATIONAL SCHOOL","admin.rajkot@sgvp.org"
"SAGUN VIDHYALAY","sagundigitalschool@gmail.com"
"PARTH VIDHYALAY","gohelpurvesh@gmail.com"
"MAHARANI SHREE RAJKUVARABA KANYA VIDHYALAY","mrajkunvarbaedutrust@yahoo.com"
"A N PANELIA PRI SCHOOL","anpschoolambardi@gmail.com"
"NIRMALA PRI. SCHOOL","nirmalaschool48@gmail.com"
"SHREE MATRUMANDIR VIDHYALAY","akhilesh.trivedi77@gmail.com"
"SHREE ADARSH MADHYAMIK SCHOOL","adarshschool923@gmail.com"
"SUNSHINE PRI. SCHOOL","principal24090202425@ssguj.in"
"VIDHYASAGAR PRI. SCHOOL","principal24090202427@ssguj.in"
"MAHATMA GANDHI VIDHYALAYA","dr.rajeshdave16@gmail.com"
"JAWAHAR VIDHYALAY","jawahar.j2013j@gmail.com"
"SHRI ALPHA PRI. SCHOOL","p.b.satodiya11@gmail.com"
"PANCHSHIL PRI. SCHOOL","principal24090202442@ssguj.in"
"TANNA ENGLISH MEDIUM SCHOOL","madhusudanmtanna@gmail.com"
"SHREE YOGESHVAR PRI. SCHOOL","bnraiyani103@gmail.com"
"VIDHYAMANDIR PRI. SCHOOL","vidhyamandirprimary@gmail.com"
"SARASVATI VIDHYA MANDIR","saraswatischool83@gmail.com"
"KALAPI PRI. SCHOOL","kalapipraschool@gmail.com"
"JAY SARDAR PATEL HIGH SCHOOL","spssgondal@gmail.com"
"SARASWATI JAIN VIDHYALAYA GONDAL","mjmsheth@yahoo.com"
"SHRI DASI JIVAN VIDHYAMANDIR","sdjschoo2009@gmail.com"
"DR. P. V. D. SARASWATI MADHY. VIDHY.","gondalssmv@yahoo.in"
"SAMARPAN PRI. SCHOOL","samarpanschool11@gmail.com"
"GYANGANGA PRI. SCHOOL","principal24090202478@ssguj.in"
"MANIMANDIR PRI. SCHOOL","principal24090202480@ssguj.in"
"ST MARYS HIGHER SECONDARY SCHOOL","stmarygondal@gmail.com"
"SHREE GEETA VIDHYAMANDIR","yogesh.gajera@yahoo.com"
"KABIR PRI.SCHOOL","kabirschoolst1@gmail.com"
"PARTH VIDYAMANDIR","bgss2002@gmail.com"
