schoolName,email
"ARUN MUCHHALA INTERNATIONAL SCHOOL ENG MED","aminternationalschool22@gmail.com"
"SMT S S AJMERA HIGHER SECONDARY SCHOOL - GHOGHAVADAR","ghoghavadarhighersecondary@gmail.com"
"SHREE SARDAR PATEL VIDYA MANDIR","principal24090300703@ssguj.in"
"PARTH VIDHYALAY","tmparth@gmail.com"
"ALPHA ENGLISH SCHOOL","alfaenglishschool02@gmail.com"
"SHREE SARSWATI VIDHYALAY","infosarasvatischooljkn@gmail.com"
"SANSKAR VIDHYALAY","sanskarvidhyalay.2017@gmail.com"
"SHREE SARVODAY VIDYALAY","sarvodayjamkandorna@gmail.com"
"SHRI KANYA VIDYALAY SCIENCE SECTION","kanyavidhyalaysci@gmail.com"
"SHREE ALFA HIGHSCHOOL","alfamadhyamikshala@gmail.com"
"SHREE SARSWATI PRIMARY SCHOOL","shreesarwatischool251@gmail.com"
"KALARAV SCHOOL JAMKANDORNA","kalravschooljamkandorna@gmail.com"
"SHREE BHAGYODAY MADHYAMIK AND UCHCHTAR MADHYAMIK SCHOOL","bhagyodayacademy123@gmail.com"
"SHIVAM VIDHYALAYA","shivamschool2007@gmail.com"
"IQRA EDUCATION CAMPUS","iqraeducationcampus@yahoo.com"
"SHREE SIDDHARTH VIDHYA BHAVAN","shreesv20186@gmail.com"
"VIVEKANAND PRIMARY SCHOOL","bshekhaliya318@yahoo.com"
"SIDDHARTH VIDHYABHAVAN","nabhoyanareshkumar611@gmail.com"
"SHREE SAURASHTRA PATEL VIDYA MANDIR","spsatkot@gmail.com"
"SHREE VIDHYA VIHAR PRIMARY SCHOOL","vidhyaviharhighschoolatkot@gmail.com"
"SWAMINARAYAN GIRLS PRI SCHOOL","shreemdbp@gmail.com"
"SHREE VIVEKANAND VINAY MANDIR","shreevivekanandvinaymandir@gmail.com"
"MAITREE PRIMARY SCHOOL","maitree.school@gmail.com"
"VIVEKANAND SHAIKSHANIK SANKUL","svssschool2009@gmaol.com"
"SHREE VIVEKANAND VIDYALAY","spvbhadala@gmail.com"
"SHREE JIVAN JYOT HIGH SCHOOL","chetanchauhan16@gmail.com"
"ADARSH PRI .SCHOOL DODIYALA","hirenramani3@gmail.com"
"SARASWATI VIDHYA MANDIR","shilunilesh2412@gmail.com"
"SMT. R. K. PATEL SCHOOL","smtrkpatel@gmail.com"
"VAJIBA VIDHYALAY","principal24090404503@ssguj.in"
"SHREE VAJIBA MADHYMIK SCHOOL","jayeshdholariya1988@gmail.com"
"SARASVATI VIDHYALAYA","damasiyapankaj@gmail.com"
"SHREE MHATMA GANDHI HIGH SCHOOL","m.g.highschool1712@gmail.com"
"SHREE MADHYAMIK & UCHHATAR MADHAMIK SHALA","parishramsankulkothi@gmail.com"
"SANDIPANI VIDHYALAY","cmtaviya@gmail.com"
"JAYMOHAN DADA VIDHYALAY","nikulramani6@gmail.com"
"MAHATMA GANDHI PRI. SCHOOL","shreesanjivanischool@gmail.com"
"SHREE ARUNI VIDHYALAY","aruni.santhali@gmail.com"
"SHREE SHIV SHAKTI VIDHYAMANDIR","tulsidusbapa@gmail.com"
"ST. ALPHONSA SCHOOL","alphonsaschooljasdan@gmail.com"
"VIVEKANAND VIDHYALAY","vimalbtalaviya@gmail.com"
"OM SHREE NALANDA VISHWA VIDHYAPITH","nalandavidhyalaya@gmail.com"
"UNIQUE GROUP OF SCHOOLS","unique_schools@yahoo.com"
"SHREE SHIV PRIMARY SCHOOL","mbvekariya33@gmail.com"
"SMT M A JANI JIVANSHALA(H.S.)","jivanshala2@gmail.com"
"SHREE VIVEKANAND VIDHYAMANDIR","tulsidasbapa@gmail.com"
"SARDAR PATEL VIDHIYALAY","shreespv@yahoo.com"
"SARVODAY PRIMARY SCHOOL","sarvodayvidyalayjasdan@gmail.com"
"SHREE OMKAR HIGHER SECONDARY SCHOOL","omkarsankuljasdan@ymail.com"
"SANDIPANI SANSKAR VIDHYALAY","sakhiyasss1@gmail.com"
"LITTLE STAR PRIMARY SCHOOL","iittlestars@gmail.com"
"SAINT HARI PRIMARY SCHOOL","vegadraviraj@gmail.com"
"SHREE VIVEKANAND PRI SCHOOL","vivekanandschooljasdan@gmail.com"
"SANT KABIR ENG.MED.SCHOOL","archithirapara7275@gmail.com"
"NALANDA VIDHYALAY","vaghanisanjay772@gmail.com"
"SARASVATI SHISHUMANDIR PRI. SCHOOL","saraswatishishumandirjasdan@gmail.com"
"SHREE ABC VIDHYAMANDIR","abcvidyamandir111@gmail.com"
"SHANTINIKETAN SCHOOL","shantiniketanjasdan@gmail.com"
"KRISHNA SCHOOL","krishnasankul6@gmail.com"
"SHREE SWAMINARAYAN HIGH SCHOOL","omkarsankuljasdan@gmail.com"
"SHREE VENILAL KALYANI M & U M SHALA","venilalkalyanisanul@gmail.com"
"MATUSHRI L.D.K. HIGH SCHOOL","ldkhighschool.jasdan@gmail.com"
"SHREE TAXSHILA VIDYA MANDIR","snjchothani@gmail.com"
"VIDHYANIKETAN SCHOOL","vidhyaniketan2013@gmail.com"
"NEW ERA PRI SCHOOL","neweraschoolsjasdan@gmail.com"
"EKLVYA CONVENT SCHOOL","eklavya.educationgroup@gmail.com"
"SHREE ASTHA VIDHYALAY","asthasankuljasdan@gmail.com"
"VRUNDAVAN SCHOOL","vdnscl@gmail.com"
"SHRI VIVEKANAND VINAY MANDIR(H.S.)","vivekanandum.jasdan@gmail.com"
"SANSKAR VALLEY INTERNATIONAL ENG MED SCHOOL","principal24090403984@ssguj.in"
"YASHODA GIRLS ENG PRIMARY SCHOOL","yasodasankul@gmail.com"
"OM SHANTI VIDHYALAY","chhayanibhavesh1234@gmail.com"
"SUNSHINE SCHOOL","hs784080@gmail.com"
"SUNMOON STAR ENGLISH MEDIUM SCHOOL","99925743634@gmail.com"
"SHREE KESHAV VIDHYALAY","maheshpatel44364.mp@gmail.com"
"THE ULTRA MY SCHOOL (ENGLISH MEDIUM)","theultramyschool@gmail.com"
"SHRI ASHAPURA VIDHYA MANDIR","smkaliya@gmail.com"
