schoolName,email
"A. K. VIDHYALAY","akvidhyalay642@gmail.com"
"PARTH VIDHYALAY","parthvidhalaya3315@gmail.com"
"SHRI RADHEKRISHNA PRATHAMIK SHALA","shriradhekrishnaprashala@gmail.com"
"SHRI ASHVINI VIDHYALAY","wwwaswinividhyalay@gmail.com"
"SHRI VIVEKANAND MADHYAMIK SHALA","vivekanandschool2@gmail.com"
"PALAV VIDYA MANDIR","palav.school@gmail.com"
"KALARAV SCHOOLS","vijaytoliya80@gmail.com"
"PARTH VIDHYALAY","parthvidhyalaykothariya@gmail.com"
"OMSHANTI PRIMARY SCHOOL","omshantiprimaryschool@gmail.com"
"OMKAR SHAIKSHANIK SANKUL","omkarschoolkothariya@gmail.com"
"UDAAN SCHOOL OF EDUCATION","udaanschool18@gmail.com"
"GUJARAT SCHOOL OF EXCELLENCE SYSTEM(ENGLISH)","gsesrajkot@gmail.com"
"MANHAR VIDHYALAY","orientalschool1996@gmail.com"
"AARADHYA PUBLIC SCHOOL","aradhyapublicschool2018@gmail.com"
"HAPPY SCHOOL","happyschool.ghanteshwar@gmail.com"
"AMBITION ENGLISH MEDIUM","sayaramahervani@gmail.com"
"BACHCHAZ ACADEMY","bachchazpreschool@gmail.com"
"THE SUNSHINE INTERNATIONAL SCHOOL","thesunshineinternationalschool@gmail.com"
"NOBLE SHISHUMANDIR","nobleshishumandir@gmail.com"
"SHREE KRISHNA ENGLISH MEDIUM SCHOOL","krishnaschool1974@gmail.com"
"SHREE SARSWATI VIDHYALAY","vasanthadiyel@rediffmail.com"
"SHREE DHARTI PRATHMIK SHALA","prathmik12@gmail.com"
"NOBLE PRIMARY SCHOOL","nobleprimarayschool@gmail.com"
"SHREE SANSKARDHAM PRI.SCHOOL","sanskardhampri@gmail.com"
"VIDHYAKUNJ PRATHMIK SHALA","shreeashirvadschool@gmail.com"
"SADHU VASWANI PR.SCHOOL(GUJARATI)","svsgaikwadi@gmail.com"
"H.H.PRINCE AGA KHAN GIRLS SCHOOL","agsrajkot@gmail.com"
"SHREE ADARSH MANDAL (SANCHALIT PR.SCHOOL)","devkunverbahs@gmail.com"
"SHRI P AND B PRI SCH ENG MED","shripandbschool2017@gmail.com"
"RAJARAM PR.SCHOOL","raghubhaikukadiya@yahoo.com"
"SHREE KRISHNA VIDYAMANDIR","newkrishnaschools@gmail.com"
"NAVJYOT VIDYAMANDIR","navjyotschools@gmail.com"
"VEDANT ENGLISH SCHOOL","maheshgondaliya819@gmail.com"
"SUNRISE ENGLISH SCHOOL","nbgajjar5554@gmail.com"
"SARASWATI U. M. KANYA VIDHYA MANDIR","redsumkvmrn@gmail.com"
"GAYATRI VIDHYAMANDIR - RAJKOT","virenjjani@gmail.com"
"SHREE MODERN VIDYALAYA","abhinavpalanpura9@gmail.com"
"NEW FLORA ENGLISH MEDIUM SCHOOL","nfems17@gmail.com"
"NALANDA FORWARD HIGHSCHOOL","nfsrajkot2020@gmail.com"
"NAKSHTRA ENGLISH SCHOOL","nakshatra.sankul@gmail.com"
"NAVODIT VIDHYAMANDIR","kidsatinnovative@gmail.com"
"SHREE PRAGATY VIDYAMANDIR","shreepragatividhyamandir@gmail.com"
"P.B.PATEL SCHOOLS(GUJ.MED.)","pbpatelgmedu@gmail.com"
"P.B.PATEL SCHOOLS(ENG.MED.)","pbpatelemedu@gmail.com"
"SHIV PR.SCHOOL","s.p.schoolrajkot@gmail.com"
"K.N.JANI MEMORIYAL PRIMARY SCHOOL(ENGLISH)","shreemurlidharhighschool@gmail.com"
"CHANAKYA MADHYAMIK VIDHYAMANDIR","chanakyavidhyamandir@gmail.com"
"SHREE MOTHER TERESSA PRA.SCHOOL","shreemotherteressapra.school@gmail.com"
"P V MODI PRI. SCHOOL ENG.","pvmindra@gmail.com"
"SHREE LALBHADUR SASTRI PRI.SCH","lbs60607@gmail.com"
"C.P.KOTAK MEMORIAL PRIMARY SCHOOL","kotakschool33@gmail.com"
"REENA SCHOOL","reenaschool99@gmail.com"
"THE SUNSHINE SCHOOL RAJKOT (ENG. MEDIUM)","sunshineschoolrajkot@gmail.com"
"P.B.KOTAK MEMORIAL ENGLISH SCHOOL","kotakenglishschool@gmail.com"
"KOTAK SECONDARY-HIGHER SEC. SCHOOL","kotakhighersecondary@gmail.com"
"SHREE P. V. MODI HIGH SCHOOL (SCI.ENG.)","modischools@gmail.com"
"SAINT PAUL'S SCHOOL","saintpaulsrajkot@yahoo.com"
"SHRI V J MODI HIGH. SEC. SCHOOL (COMERCE-ENG)","vjmschool@gmail.com"
